movieId,title,genres,year,title_clean,avg_rating,num_ratings,tags,popularity_score,content_features
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,3.92,215,pixar pixar fun,3.8990768447568898,Adventure Animation Children Comedy Fantasy Toy Story pixar pixar fun
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,3.43,110,fantasy magic board game Robin Williams game,3.419615893470338,Adventure Children Fantasy Jumanji fantasy magic board game Robin Williams game
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,3.26,52,moldy old,3.259577280271687,Comedy Romance Grumpier Old Men moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale,2.36,7,,2.808218538287826,Comedy Drama Romance Waiting to Exhale 
5,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II,3.07,49,pregnancy remake,3.093304634571956,Comedy Father of the Bride Part II pregnancy remake
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,3.95,102,,3.9054592617984367,Action Crime Thriller Heat 
7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,3.19,54,remake,3.1976239268201567,Comedy Romance Sabrina remake
8,Tom and Huck (1995),Adventure|Children,1995.0,Tom and Huck,2.88,8,,3.055670635735304,Adventure Children Tom and Huck 
9,Sudden Death (1995),Action,1995.0,Sudden Death,3.12,16,,3.1615243276534595,Action Sudden Death 
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,3.5,132,,3.4877342412663994,Action Adventure Thriller GoldenEye 
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The",3.67,70,politics president,3.6324033705977863,"Comedy Drama Romance American President, The politics president"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,2.42,19,,2.6451945975395983,Comedy Horror Dracula: Dead and Loving It 
13,Balto (1995),Adventure|Animation|Children,1995.0,Balto,3.12,8,,3.1836706357353037,Adventure Animation Children Balto 
14,Nixon (1995),Drama,1995.0,Nixon,3.83,18,politics president,3.6694023814411825,Drama Nixon politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,3.0,13,,3.089752976801478,Action Adventure Romance Cutthroat Island 
16,Casino (1995),Crime|Drama,1995.0,Casino,3.93,82,Mafia,3.877023140854265,Crime Drama Casino Mafia
17,Sense and Sensibility (1995),Drama|Romance,1995.0,Sense and Sensibility,3.78,67,Jane Austen,3.7304737775139127,Drama Romance Sense and Sensibility Jane Austen
18,Four Rooms (1995),Comedy,1995.0,Four Rooms,3.7,20,,3.585002205038132,Comedy Four Rooms 
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,Ace Ventura: When Nature Calls,2.73,88,,2.7687901003792583,Comedy Ace Ventura: When Nature Calls 
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,2.5,15,,2.74068452436498,Action Comedy Crime Drama Thriller Money Train 
